description,effect_keys,flavour_text,graphic_id,id,properties,requirements
"Every $on_timer seconds, reduces the Damage of a random Champion to 0 for $for_time seconds","[{'on_timer': 15, 'active_graphic_x': 25, 'targets': ['all'], 'for_time': 30, 'active_graphic_id': 2740, 'effect_string': 'hero_dps_multiplier_reduce,100', 'for_random': 1, 'active_graphic_y': -120}]",,1436,135,"{'effect_name': 'Distracted', 'is_formation_ability': True, 'graphic_as_portrait': True}",[]
"Every $on_timer seconds, some bad advice from the ill-informed Guide reduces the Damage of a random Champion to 0 for $for_time seconds","[{'on_timer': 10, 'target_empty_slots': False, 'targets': ['other'], 'for_time': 20, 'active_graphic_id': 2824, 'effect_string': 'hero_dps_multiplier_reduce,100', 'for_random': 1, 'active_graphic_y': -45}]",,1436,136,"{'effect_name': 'Bad Guidance', 'is_formation_ability': True, 'graphic_as_portrait': True}",[]
Increases the damage of Half-Orc and Half-Elf Champions by $(amount)%.,"[{'effect_string': 'hero_dps_multiplier_mult,1100', 'targets': ['all'], 'filter_targets': [{'tags': 'half-elf|half-orc', 'type': 'by_tags'}]}]",,2829,137,{'is_formation_ability': True},[]
Increases the damage of Gith and Tabaxi Champions by $(amount)%.,"[{'effect_string': 'hero_dps_multiplier_mult,1100', 'targets': ['all'], 'filter_targets': [{'tags': 'githzerai|tabaxi', 'type': 'by_tags'}]}]",,2828,138,{'is_formation_ability': True},[]
Increases the damage of Gnome and Halfling Champions by $(amount)%.,"[{'effect_string': 'hero_dps_multiplier_mult,1100', 'targets': ['all'], 'filter_targets': [{'tags': 'gnome|halfling', 'type': 'by_tags'}]}]",,2830,139,{'is_formation_ability': True},[]
"$source deals additional damage to enemies the farther they are from the formation: starting at 0% when they are $start_percent% from away from the formation, up to $amount% more damage when they are at the spawn point","[{'effect_string': 'bonus_damage_monster_percent_from_party_range,100,20,100', 'separate_popup': False}]",,0,140,[],[]
"When $source hits an enemy, they take $amount% more damage from all Champions for $seconds seconds. During this time, if they get hit $hits times, they will be stunned for $stun_time seconds","[{'copy_keys': ['seconds', 'hits', 'stun_time'], 'seconds': 60, 'after_damage': True, 'monster_effect': {'effect_string': 'cattibrie_mark_for_death,$amount,$seconds,$hits,$stun_time,2874,1509'}, 'effect_string': 'add_monster_hit_effects,100,99,100', 'stun_time': 5, 'hits': 10}]",,0,141,[],[]
"When $source crits, their next $base_attacks_remaining hit for $amount% more damage","[{'effect_string': 'add_crit_effect,100,99', 'target_hero': True, 'attacks_remaining': 4, 'crit_effect': {'effect_string': 'next_attack_damage_multiplier,100', 'attacks_remaining_graphic_id': 2873}, 'copy_keys': ['attacks_remaining']}]",,0,142,[],[]
Increases the Damage of all Champions adjacent to $source by $amount%,"[{'effect_string': 'hero_dps_multiplier_mult,400', 'targets': ['adj']}]",,1508,143,"{'effect_name': 'Companionship', 'graphic_as_portrait': True}",[]
"Petrifies $target, blocking their attacks and abilities","[{'on_timer': 15, 'visual_effect': 'greyscale', 'targets': ['all'], 'for_time': 60, 'effect_string': 'disable_hero_properties,1,1,0,1', 'single_effect_per_slot': True, 'target_dead': False, 'for_random': 1, 'target_empty_slots': False}]",,2950,144,"{'effect_name': 'Petrification', 'individual_target_timers_desc': True, 'is_formation_ability': True, 'graphic_as_portrait': True, 'tracking_name': 'petrification'}",[]
Increases the Damage of all Champions behind $source in the formation by $amount%,"[{'effect_string': 'hero_dps_multiplier_mult,100', 'targets': ['behind'], 'active_graphic_owner_only': True, 'active_graphic_id': 3034, 'active_graphic_y': -180}]",,3039,145,[],[]
"Every third attack, Evelyn cleaves nearby enemies as well","[{'effect_string': 'add_attack_aoe_targets_every,100,150,3,102', 'alternate_attack_sequence': 'attack_b'}]",,0,146,[],[]
"After $source hits an Enemy, Divine Prayer is buffed by $amount% for 15 seconds","[{'active_graphic_id': 3035, 'active_graphic_sort_offset': 1, 'monster_effect': {'effect_string': 'effect_def,148'}, 'effect_string': 'add_monster_hit_effects,100,102,103', 'target_hero': True, 'active_graphic_y': -180, 'active_graphic_frame': 0}]",,0,147,[],[]
Increases the effect of $(upgrade_name id) by $amount% for 15 seconds,"[{'stack_across_effects': True, 'for_time': 15, 'time_stack_type': 'time_reset', 'effect_string': 'buff_upgrade,0,1076', 'active_graphic_frame': 1, 'active_graphic_id': 3035, 'active_graphic_sort_offset': 2, 'active_graphic_y': -180}]",,0,148,"{'effect_name': 'Divinity', 'individual_target_timers_desc': True, 'is_formation_ability': False}",[]
Increases the effect of $(upgrade_name id) by $amount% for each enemy attacking $source,"[{'active_graphic_id': 3036, 'targets': ['self_slot'], 'active_graphic_sort_offset': 3, 'effect_string': 'buff_upgrade_per_attacking_monster,25,1076', 'active_graphic_y': -180, 'active_graphic_any_amount_frame': 1}]",,0,149,{'is_formation_ability': False},[]
"After an ally effectively heals $source, Divine Prayer is buffed by $amount% for 15 seconds","[{'active_graphic_id': 3037, 'active_graphic_sort_offset': 4, 'effect_string': 'add_ally_effective_heal_effects,100', 'heal_effect': {'effect_string': 'effect_def,151'}, 'active_graphic_y': -180, 'active_graphic_frame': 0}]",,0,150,[],[]
Increases the effect of $(upgrade_name id) by $amount% for 15 seconds,"[{'stack_across_effects': True, 'for_time': 15, 'time_stack_type': 'time_reset', 'effect_string': 'buff_upgrade,0,1076', 'active_graphic_frame': 1, 'active_graphic_id': 3037, 'active_graphic_sort_offset': 5, 'active_graphic_y': -180}]",,0,151,"{'effect_name': 'Conduit of the Light', 'individual_target_timers_desc': True, 'is_formation_ability': False}",[]
Increases the Max Health of $target by $amount%,"[{'effect_string': 'health_mult,100'}]",,3040,158,{'is_formation_ability': True},[]
"After an ally of $source is attacked by an enemy, Divine Prayer is buffed by $amount% for 15 seconds","[{'active_graphic_frame': 0, 'targets': ['other'], 'active_graphic_sort_offset': 6, 'effect_string': 'add_hit_effect_to_source,100', 'active_graphic_owner_only': True, 'hit_effect': {'effect_string': 'effect_def,153'}, 'active_graphic_id': 3038, 'active_graphic_y': -180}]",,0,152,{'is_formation_ability': False},[]
Increases the effect of $(upgrade_name id) by $amount% for 15 seconds,"[{'stack_across_effects': True, 'for_time': 15, 'time_stack_type': 'time_reset', 'effect_string': 'buff_upgrade,0,1076', 'active_graphic_frame': 1, 'active_graphic_id': 3038, 'active_graphic_sort_offset': 7, 'active_graphic_y': -180}]",,0,153,"{'effect_name': 'Protection', 'individual_target_timers_desc': True, 'is_formation_ability': False}",[]
"After $source attacks an Enemy that has recently attacked them, Divine Prayer is buffed by $amount% for 15 seconds","[{'active_graphic_id': 3038, 'reqs': ['already_attacked'], 'active_graphic_sort_offset': 6, 'monster_effect': {'effect_string': 'effect_def,155'}, 'effect_string': 'add_monster_hit_effects,100,102,103', 'target_hero': True, 'active_graphic_y': -180, 'active_graphic_frame': 0}]",,0,154,[],[]
Increases the effect of $(upgrade_name id) by $amount% for 15 seconds,"[{'stack_across_effects': True, 'for_time': 15, 'time_stack_type': 'time_reset', 'effect_string': 'buff_upgrade,0,1076', 'active_graphic_frame': 1, 'active_graphic_id': 3038, 'active_graphic_sort_offset': 7, 'active_graphic_y': -180}]",,0,155,"{'effect_name': 'Duel', 'individual_target_timers_desc': True, 'is_formation_ability': False}",[]
Increases the damage of $target by $amount% in each area (stacks multiplicatively),"[{'effect_string': 'hero_dps_multiplier_mult,5', 'targets': ['all_slots']}]",,1508,156,"{'effect_name': 'The Human Spirit', 'is_formation_ability': True}",[]
,"[{'effect_string': 'damage_reduction,99'}]",,0,157,[],[]
"Changes the damage of all Champions based on their Wisdom stat bonus: +$amount% for every +1 in their Wisdom modifier, and -$neg_amount% for every -1 Wisdom in their modifier","[{'effect_string': 'hero_dps_multiplier_inc_per_stat_modifier,200,wis', 'targets': ['all'], 'filter_targets': [{'stat': 'wis', 'score': 9, 'check': 'greater_than', 'type': 'stat_score'}]}, {'effect_string': 'hero_dps_multiplier_dec_per_stat_modifier,50,wis', 'targets': ['all'], 'filter_targets': [{'stat': 'wis', 'score': 10, 'check': 'less_than', 'type': 'stat_score'}]}]",,3105,159,"{'effect_name': 'Wisdom Check', 'is_formation_ability': True}",[]
"When attacking, $target has a $(binwin_odds_buff base_odds)% chance to immediately attack another enemy for $amount% more damage, but adding $cooldown_added seconds to their next attack cooldown (this can trigger multiple times, with the chance being reduced by $reduce_odds% and damage being further increased by $amount% for each extra attack)","[{'effect_string': 'binwin_multi_attack,50,50,2,50,3160'}]",,0,160,[],[]
$target's Base attack has a $chance% chance of dealing damage to all enemies in a small cleave,"[{'effect_string': 'add_attack_aoe_targets,100,150,107', 'alternate_attack_sequence': 'attack_b', 'chance': 20}]",,0,161,[],[]
$target's chance for Extra Attacks to proc is increased by $amount% (multiplicatively),"[{'effect_string': 'buff_binwin_multi_attack_chance,25'}]",,0,162,[],[]
"Decreases the damage of adjacent Champions by $amount%, except for Binwin, whom they buff by $amount___2%","[{'effect_string': 'hero_dps_multiplier_reduce,90', 'targets': ['adj'], 'filter_targets': [{'hero_ids': [27], 'type': 'exclude_heroes'}]}, {'effect_string': 'hero_dps_multiplier_mult,400', 'targets': ['adj'], 'filter_targets': [{'hero_ids': [27], 'type': 'hero_ids'}]}]",,3252,163,"{'effect_name': ""Binwin's Minions""}",[]
