description,effects,graphic_id,hero_id,id,name,rarity,slot_id
"Hey, these are actually pretty comfy! Good find!","[{'effect_string': 'reduce_ultimate_cooldown,12'}]",313,8,190,Comfortable Robes,2,6
I've been searching for the master who crafted this for years. It's wondrous!,"[{'effect_string': 'reduce_ultimate_cooldown,24'}]",314,8,191,Masterful Silken Robe,3,6
My spells are empowered when I wear this cape. Not that they need to be.,"[{'effect_string': 'reduce_ultimate_cooldown,60'}]",315,8,192,Swirling Patterned Robe of Sorcery,4,6
"A few sparks are a beginning, but they're certainly not an end.","[{'effect_string': 'hero_dps_multiplier_mult,50'}]",346,9,193,Necklace of Sparks,1,1
We're going to need to do better than this.,"[{'effect_string': 'hero_dps_multiplier_mult,125'}]",346,9,194,Necklace of Flickers,2,1
Where there's smoke...,"[{'effect_string': 'hero_dps_multiplier_mult,200'}]",347,9,195,Necklace of Flame,3,1
This ought to draw their attention.,"[{'effect_string': 'hero_dps_multiplier_mult,350'}]",348,9,196,Golden Necklace of Fireballs,4,1
There's something a little off about this dagger.,"[{'effect_string': 'hero_dps_multiplier_mult,50'}]",343,9,197,Suspicious Dagger,1,2
"Yeah, this dagger is clearly evil. But it does my bidding, so it's not all bad.","[{'effect_string': 'hero_dps_multiplier_mult,125'}]",343,9,198,Evil Dagger,2,2
Allows me to focus my fiendish magic.,"[{'effect_string': 'hero_dps_multiplier_mult,200'}]",344,9,199,Twisted Dagger Focus,3,2
I'll do whatever it takes to achieve my goals.,"[{'effect_string': 'hero_dps_multiplier_mult,350'}]",345,9,200,Demonic Focus of Infernal Power,4,2
Holds enough components for a few hours of intense spellcasting.,"[{'effect_string': 'global_dps_multiplier_mult,10'}]",340,9,201,Small Cloth Pouch,1,3
There's a hidden compartment in the back for even more components.,"[{'effect_string': 'global_dps_multiplier_mult,65'}]",340,9,202,Stitched Leather Pouch,2,3
"Finding black leather dye is extremely difficult. Luckily, I know a Fiend or two.","[{'effect_string': 'global_dps_multiplier_mult,120'}]",341,9,203,Dyed Leather Pouch,3,3
Demon hide is especially rare. They generally don't like to give it up.,"[{'effect_string': 'global_dps_multiplier_mult,230'}]",342,9,204,Gilded Demon Hide Pouch,4,3
They... they tore my cape! The nerve!,"[{'effect_string': 'buff_upgrades,25,139,140'}]",337,9,205,Torn Cape,1,4
"I'm really still quite evil, once you get to know me.","[{'effect_string': 'buff_upgrades,87.5,139,140'}]",337,9,206,Dark Cape,2,4
"Magnificent, much like myself!","[{'effect_string': 'buff_upgrades,150,139,140'}]",338,9,207,Magnificent Cape,3,4
"Don't worry, they weren't very nice souls to begin with.","[{'effect_string': 'buff_upgrades,275,139,140'}]",339,9,208,Exquisite Cape of Souls,4,4
This has no real value to me. I've grown so far beyond its meager power.,"[{'effect_string': 'buff_ultimate,25'}]",349,9,209,Basic Warlock's Robe,1,5
A simple robe for a simple warlock. I've already outgrown it.,"[{'effect_string': 'buff_ultimate,87.5'}]",349,9,210,Apprentice's Robe,2,5
"Finally, a robe worthy of my great power.","[{'effect_string': 'buff_ultimate,150'}]",350,9,211,Gold Stitched Robe,3,5
The ends justify the means. I'll do whatever it takes.,"[{'effect_string': 'buff_ultimate,275'}]",351,9,212,Tasselled Robes of Justification,4,5
You can't make an omelette without burning a few belts.,"[{'effect_string': 'reduce_ultimate_cooldown,8'}]",334,9,213,Charred Belt,1,6
"For some reason, my patron seems to like it when I wear black.","[{'effect_string': 'reduce_ultimate_cooldown,15'}]",334,9,214,Blackened Belt,2,6
"A rare gift from my patron, Arikas. It serves me well.","[{'effect_string': 'reduce_ultimate_cooldown,30'}]",335,9,215,Fine Acolyte's Belt,3,6
An exquisite belt for those of us with fiendish tastes.,"[{'effect_string': 'reduce_ultimate_cooldown,75'}]",336,9,216,Skirted Belt of Demons,4,6
Even a splintered branch can do damage in the right hands.,"[{'effect_string': 'hero_dps_multiplier_mult,50'}]",403,10,217,Splintered Branch,1,1
"It's a splinted splintered branch. Get it? Aww, you're no fun.","[{'effect_string': 'hero_dps_multiplier_mult,125'}]",403,10,218,Patched Tree Branch,2,1
The twisting only serves to make it stronger.,"[{'effect_string': 'hero_dps_multiplier_mult,200'}]",404,10,219,Twisted Wooden Staff,3,1
The tree this staff came from is older than time itself.,"[{'effect_string': 'hero_dps_multiplier_mult,350'}]",405,10,220,Gnarled Staff of the Warden,4,1
A simple necklace for simple adventurers.,"[{'effect_string': 'hero_dps_multiplier_mult,50'}]",391,10,221,Dull Jade Necklace,1,2
There's something about jade that always tickles my fancy.,"[{'effect_string': 'hero_dps_multiplier_mult,125'}]",391,10,222,Shiny Jade Necklace,2,2
A fine necklace purchased from a merchant in Triboar.,"[{'effect_string': 'hero_dps_multiplier_mult,200'}]",392,10,223,Fine Jade Necklace,3,2
An ancient necklace found deep in the Neverwinter wood.,"[{'effect_string': 'hero_dps_multiplier_mult,350'}]",393,10,224,Woven Jade Necklace of the Forest,4,2
Fifty feet of strong hempen rope. Durable and versatile.,"[{'effect_string': 'global_dps_multiplier_mult,10'}]",397,10,225,Plain Rope,1,3
"It seems to want something... What do you want, little rope?","[{'effect_string': 'global_dps_multiplier_mult,65'}]",397,10,226,Twitching Rope,2,3
Good for getting to high places when there's nothing to tie rope to.,"[{'effect_string': 'global_dps_multiplier_mult,120'}]",398,10,227,Magical Rope,3,3
It's easier for you if you don't fight it. It feeds on your struggles.,"[{'effect_string': 'global_dps_multiplier_mult,230'}]",399,10,228,Empowered Rope of Entanglement,4,3
"It's taken a few too many trips through the brambles, if you know what I mean.","[{'effect_string': 'buff_upgrades,25,145,146'}]",400,10,229,Ripped Cloth Vest,1,4
A workable vest. Relatively new and uninitiated to nature.,"[{'effect_string': 'buff_upgrades,87.5,145,146'}]",400,10,230,Plain Cloth Vest,2,4
A fine shirt. I almost feel bad taking it out into the wild. Almost.,"[{'effect_string': 'buff_upgrades,150,145,146'}]",401,10,231,Fine Cloth Shirt,3,4
One of the few items I kept from my home village after... Nevermind.,"[{'effect_string': 'buff_upgrades,275,145,146'}]",402,10,232,Earthwarden's Shirt of Nature,4,4
"It's may be out of tricks, but I've still got some up my sleeve.","[{'effect_string': 'buff_ultimate,25'}]",388,10,233,Empty Bag of Tricks,1,5
"Filled with powders to distract, to itch, to blind.","[{'effect_string': 'buff_ultimate,87.5'}]",388,10,234,Basic Bag of Tricks,2,5
It's almost too heavy to carry. Perhaps that's a trick for its owner.,"[{'effect_string': 'buff_ultimate,150'}]",389,10,235,Hefty Bag of Tricks,3,5
There's a hint of magic in all of these tricks.,"[{'effect_string': 'buff_ultimate,275'}]",390,10,236,Mystical Tan Bag of Tricks,4,5
Crafted from a fallen branch donated by a very old and wise tree.,"[{'effect_string': 'reduce_ultimate_cooldown,6'}]",394,10,237,Wooden Ring,1,6
"Moles have one of the keenest noses in the world, you know.","[{'effect_string': 'reduce_ultimate_cooldown,12'}]",394,10,238,Basic Ring of the Mole,2,6
Frogs have many fine attributes that are quite useful when adventuring.,"[{'effect_string': 'reduce_ultimate_cooldown,24'}]",395,10,239,Fine Ring of the Frog,3,6
"Much like the Porcupine, if you poke me, you'll regret it.","[{'effect_string': 'reduce_ultimate_cooldown,60'}]",396,10,240,Exquisite Ring of the Porcupine,4,6
A bangle or two from my days as a youth.,"[{'effect_string': 'hero_dps_multiplier_mult,50'}]",627,11,241,Primitive Bangles,1,1
Carved from the most wondrous trees that grow only in Chult.,"[{'effect_string': 'hero_dps_multiplier_mult,125'}]",627,11,242,Wooden Bangles,2,1
More elegant arm wear for a more successful adventurer.,"[{'effect_string': 'hero_dps_multiplier_mult,200'}]",628,11,243,Metal Bangles,3,1
Beautiful bangles bought from an adventurous merchant.,"[{'effect_string': 'hero_dps_multiplier_mult,350'}]",629,11,244,Precious Inscribed Bangles of Chult,4,1
Someone hasn't been taking good care of their boots.,"[{'effect_string': 'hero_dps_multiplier_mult,50'}]",630,11,245,Scuffed Boots,1,2
"Uncommonly soft and comfortable, they allow me to be light on my feet.","[{'effect_string': 'hero_dps_multiplier_mult,125'}]",630,11,246,Soft Boots,2,2
A fine pair of boots with a padded sole.,"[{'effect_string': 'hero_dps_multiplier_mult,200'}]",631,11,247,Stealthy Boots,3,2
They'll never hear me coming.,"[{'effect_string': 'hero_dps_multiplier_mult,350'}]",632,11,248,Masterful Boots of Elvenkind,4,2
I had a similar sword in my youth. I outgrew it quickly.,"[{'effect_string': 'global_dps_multiplier_mult,10'}]",633,11,249,Trainee's Greatsword,1,3
"A sharp blade, but not too sharp that you'll slip up and grievously injure yourself.","[{'effect_string': 'global_dps_multiplier_mult,65'}]",633,11,250,Apprentice's Greatsword,2,3
A fine sword fit for a Chultan sword master.,"[{'effect_string': 'global_dps_multiplier_mult,120'}]",634,11,251,Master's Greatsword,3,3
They'll never see me coming.,"[{'effect_string': 'global_dps_multiplier_mult,230'}]",635,11,252,Deathbringer Greatsword,4,3
A simple periapt that grants some small magic.,"[{'effect_string': 'buff_upgrade,25,237'}]",636,11,253,Simple Periapt,1,4
A fine trinket passed down for generations.,"[{'effect_string': 'buff_upgrade,87.5,237'}]",636,11,254,Fine Periapt,2,4
A heroic amulet granted to me by a village leader after I saved some villagers.,"[{'effect_string': 'buff_upgrade,150,237'}]",637,11,255,Heroic Periapt,3,4
"I pray that death will never find me, but if it does I'll be ready.","[{'effect_string': 'buff_upgrade,275,237'}]",638,11,256,Periapt of Wound Closure,4,4
There's not much power left in this ring.,"[{'effect_string': 'buff_ultimate,25'}]",639,11,257,Cold Ring,1,5
Something lurks within. This ring holds a small amount of power.,"[{'effect_string': 'buff_ultimate,87.5'}]",639,11,258,Warm Ring,2,5
The beauty of this ring is eclipsed only by its power.,"[{'effect_string': 'buff_ultimate,150'}]",640,11,259,Emerald Ring,3,5
The power of this ring allows me to charge into battle carefree.,"[{'effect_string': 'buff_ultimate,275'}]",641,11,260,Ring of Protection,4,5
Nothing's worse than a cold neck. Not even this scarf.,"[{'effect_string': 'reduce_ultimate_cooldown,3'}]",642,11,261,Torn Scarf,1,6
A simple scarf to ward off the bitter wind.,"[{'effect_string': 'reduce_ultimate_cooldown,6'}]",642,11,262,Plain Scarf,2,6
A fine scarf purchased from a merchant in Port Nyanzaru.,"[{'effect_string': 'reduce_ultimate_cooldown,12'}]",643,11,263,Patterned Scarf,3,6
A masterfully crafted scarf found in the wreckage of the boat that brought me to Chult.,"[{'effect_string': 'reduce_ultimate_cooldown,30'}]",644,11,264,Tasselled Scarf of the Island,4,6
Even a blunt blade can bash in a skull.,"[{'effect_string': 'hero_dps_multiplier_mult,50'}]",645,12,265,Dull Battle Axe,1,1
"Ah, a freshly sharpened axe. What more does a guy need?","[{'effect_string': 'hero_dps_multiplier_mult,125'}]",645,12,266,Sharp Battle Axe,2,1
The craftsmanship is exquisite.,"[{'effect_string': 'hero_dps_multiplier_mult,200'}]",646,12,267,Cruel Battle Axe,3,1
A magical axe of extreme power. My enemies flee in fear when they see it.,"[{'effect_string': 'hero_dps_multiplier_mult,350'}]",647,12,268,Bonecleaver,4,1
"A crude symbol, but any reverence to Tiamat is a good thing.","[{'effect_string': 'global_dps_multiplier_mult,10'}]",648,12,269,Crude Symbol,1,2
"A well crafted symbol, though it lacks a certain finesse.","[{'effect_string': 'global_dps_multiplier_mult,65'}]",648,12,270,Steel Symbol,2,2
Forged in the dragonflame for only the most devout followers.,"[{'effect_string': 'global_dps_multiplier_mult,120'}]",649,12,271,Flame Forged Symbol,3,2
I've foresworn my paladin oaths and dedicated my life to serving Tiamat.,"[{'effect_string': 'global_dps_multiplier_mult,230'}]",650,12,272,Holy Symbol of Tiamat,4,2
Should probably get this tightened up. The noise is very distracting.,"[{'effect_string': 'buff_upgrade,25,241'}]",651,12,273,Clanking Pauldron,1,3
Good for bashing down doors and breaking through walls.,"[{'effect_string': 'buff_upgrade,87.5,241'}]",651,12,274,Solid Pauldron,2,3
I'll impale the heads of my enemies on these spikes! Hah hah hah!,"[{'effect_string': 'buff_upgrade,150,241'}]",652,12,275,Spiked Pauldron,3,3
Forged from obsidian and granted to me by the Dragon Queen herself.,"[{'effect_string': 'buff_upgrade,275,241'}]",653,12,276,Pauldron of the Dragonmother,4,3
"It may be flimsy, but you still wouldn't want to get bashed by it.","[{'effect_string': 'buff_upgrade,25,242'}]",654,12,277,Flimsy Shield,1,4
"Don't let appearances deceive you. This is a sturdy, well-crafted shield.","[{'effect_string': 'buff_upgrade,87.5,242'}]",654,12,278,Strong Shield,2,4
Blessed by the Cult of the Dragon and carried into battle against their enemies.,"[{'effect_string': 'buff_upgrade,150,242'}]",655,12,279,Dragon-Blessed Shield,3,4
Crafted from the scales of Tiamat's enemies and worn by her unholy Paladin followers.,"[{'effect_string': 'buff_upgrade,275,242'}]",656,12,280,Dragonscale Shield of the Unholy,4,4
Whatever is in it won't be in it for long!,"[{'effect_string': 'buff_ultimate,25'}]",657,12,281,Cracked Vial,1,5
"A sturdy vial containing a murky, greyish liquid.","[{'effect_string': 'buff_ultimate,87.5'}]",657,12,282,Sturdy Vial,2,5
A crystal vial with a finely crafted silver stopper.,"[{'effect_string': 'buff_ultimate,150'}]",658,12,283,Crystal Vial,3,5
Filled to the brim with unholy power.,"[{'effect_string': 'buff_ultimate,275'}]",659,12,284,Vial of Unholy Water,4,5
Reserved for only the most bad-ass warriors.,"[{'effect_string': 'reduce_ultimate_cooldown,5'}]",660,12,285,Rusty Choker,1,6
Mere child's play. Bring me a real choker.,"[{'effect_string': 'reduce_ultimate_cooldown,9'}]",660,12,286,Spiked Choker,2,6
A golden wreath of thorns worn about ones neck.,"[{'effect_string': 'reduce_ultimate_cooldown,18'}]",661,12,287,Golden Wreath,3,6
Grants me control over a beast of my choosing. I chose Chango.,"[{'effect_string': 'reduce_ultimate_cooldown,45'}]",662,12,288,Wreath of the Prism,4,6
Fits a moderate amount of gold pieces.,"[{'effect_string': 'hero_dps_multiplier_mult,50'}]",1039,13,289,Basic Pouch,1,1
"It doesn't look like much, but it can store quite a bit of loot.","[{'effect_string': 'hero_dps_multiplier_mult,125'}]",1039,13,290,Deep Pouch,2,1
Why have one pouch when you could have five?,"[{'effect_string': 'hero_dps_multiplier_mult,200'}]",1040,13,291,Multi-Pouch,3,1
It's got everything you need to pillage and pilfer.,"[{'effect_string': 'hero_dps_multiplier_mult,350'}]",1041,13,292,Burglar's Pack of the Sneaky Thief,4,1
Hey! My mother knit these for me.,"[{'effect_string': 'global_dps_multiplier_mult,10'}]",1042,13,293,Ugly Slippers,1,3
I think a spider crawled inside these and webbed them up.,"[{'effect_string': 'global_dps_multiplier_mult,65'}]",1042,13,294,Sticky Slippers,2,3
I can scale all but the slipperiest surfaces.,"[{'effect_string': 'global_dps_multiplier_mult,120'}]",1043,13,295,Sticky Boots,3,3
Useful for climbing giants and other extra tall creatures.,"[{'effect_string': 'global_dps_multiplier_mult,230'}]",1044,13,296,Boots of Spider Climbing,4,3
It was just hanging in the cloakroom of this Inn...,"[{'effect_string': 'buff_upgrade,25,390'}]",1045,13,297,Pilfered Cape,1,4
"I'll give it back when I'm done with it, I swear.","[{'effect_string': 'buff_upgrade,87.5,390'}]",1045,13,298,Borrowed Cape,2,4
"It's impressive, much like myself!","[{'effect_string': 'buff_upgrade,150,390'}]",1046,13,299,Impressive Cape,3,4
It never gets tangled in my legs.,"[{'effect_string': 'buff_upgrade,275,390'}]",1047,13,300,Magnificent Cape of Free Flowing,4,4
I really ought to sharpen this one.,"[{'effect_string': 'hero_dps_multiplier_mult,50'}]",1048,13,301,Dull Dagger,1,2
I really ought to clean this one.,"[{'effect_string': 'hero_dps_multiplier_mult,125'}]",1048,13,302,Bloody Dagger,2,2
Everything's better with a little gold added in.,"[{'effect_string': 'hero_dps_multiplier_mult,200'}]",1049,13,303,Golden Dagger,3,2
Stolen from a foolish Prince from the east.,"[{'effect_string': 'hero_dps_multiplier_mult,350'}]",1050,13,304,Ornate Dagger of Princes,4,2
The peddler swore it was real!,"[{'effect_string': 'buff_ultimate,25'}]",1051,13,305,Fake Ring,1,5
There's a story behind this ring that I'll tell you some time.,"[{'effect_string': 'buff_ultimate,87.5'}]",1051,13,306,Pearl Ring,2,5
That's 100% legitimate Icewind Crystal.,"[{'effect_string': 'buff_ultimate,150'}]",1052,13,307,Crystal Ring,3,5
You can't hide your true form from me.,"[{'effect_string': 'buff_ultimate,275'}]",1053,13,308,Zhentarim Ring of True Sight,4,5
A simple rod of copper. Useful for jimmying doors and windows.,"[{'effect_string': 'reduce_ultimate_cooldown,5'}]",1054,13,309,Copper Rod,1,6
It's the fanciest thing I've ever jimmied a window with.,"[{'effect_string': 'reduce_ultimate_cooldown,10'}]",1054,13,310,Fancy Rod,2,6
It has some small magical properties that makes it quite useful.,"[{'effect_string': 'reduce_ultimate_cooldown,20'}]",1055,13,311,Static Rod,3,6
Magically enhanced to ignore the laws of physics.,"[{'effect_string': 'reduce_ultimate_cooldown,49'}]",1056,13,312,Ancient Immovable Rod,4,6
I like cake too much to really be comfortable in this belt.,"[{'effect_string': 'hero_dps_multiplier_mult,50'}]",1061,14,313,Tight Belt,1,1
"The monks didn't let me bring much with me, except this.","[{'effect_string': 'hero_dps_multiplier_mult,125'}]",1061,14,314,Solemn Belt,2,1
There's more to this belt than meets the eye.,"[{'effect_string': 'hero_dps_multiplier_mult,200'}]",1062,14,315,Tinkerer's Belt,3,1
I'll never talk about the day I got this belt.,"[{'effect_string': 'hero_dps_multiplier_mult,350'}]",1063,14,316,Gnomish Belt of Solemn Secrets,4,1
"Kind of defeats the purpose, don't it?","[{'effect_string': 'global_dps_multiplier_mult,10'}]",1064,14,317,See-Through Blindfold,1,2
"I can't see! Wait, no, that's the point.","[{'effect_string': 'global_dps_multiplier_mult,65'}]",1064,14,318,Blinding Blindfold,2,2
The monks made me wear this during my training.,"[{'effect_string': 'global_dps_multiplier_mult,120'}]",1065,14,319,Supremely Effective Blindfold,3,2
A trophy from my time at the monastary.,"[{'effect_string': 'global_dps_multiplier_mult,230'}]",1066,14,320,Pure Blindfold of the Even Hand,4,2
"I'd rather not stand out, to be honest.","[{'effect_string': 'buff_upgrade,25,410'}]",1067,14,321,Plain Ring,1,3
A little worse for wear from years of unarmed combat.,"[{'effect_string': 'buff_upgrade,87.5,410'}]",1067,14,322,Scuffed Steel Ring,2,3
Forged near a Chultan volcano.,"[{'effect_string': 'buff_upgrade,150,410'}]",1068,14,323,Obsidian Ring,3,3
I can really take my time to think things over.,"[{'effect_string': 'buff_upgrade,275,410'}]",1069,14,324,Innoculous Ring of Time Slowing,4,3
A hand-sown hand-me-down.,"[{'effect_string': 'buff_upgrade,25,411'}]",1070,14,325,Patched Robe,1,4
Granted to all new diciples of the Even Hand.,"[{'effect_string': 'buff_upgrade,87.5,411'}]",1070,14,326,Initiate's Robe,2,4
Robes bearing the colors of the Order of the Even Hand.,"[{'effect_string': 'buff_upgrade,150,411'}]",1071,14,327,Even Hand Robes,3,4
I remember the day I earned the right to wear these robes...,"[{'effect_string': 'buff_upgrade,275,411'}]",1072,14,328,Monastic Robe of the Even Hand,4,4
"The soles are a bit tough, but otherwise they're functional.","[{'effect_string': 'buff_ultimate,25'}]",1073,14,329,Plain Sandals,1,5
As comfortable for walking as they are for standing or sitting.,"[{'effect_string': 'buff_ultimate,87.5'}]",1073,14,330,Comfortable Sandals,2,5
"Flashy, for a monk, but I'm still a gnome, you know.","[{'effect_string': 'buff_ultimate,150'}]",1074,14,331,Intricate Sandals,3,5
All but my most perceptive foes are ignorant to my approach.,"[{'effect_string': 'buff_ultimate,275'}]",1075,14,332,Ornate Sandals of the Silent Foot,4,5
"I've tried binding it back together, but it's not very sturdy.","[{'effect_string': 'reduce_ultimate_cooldown,4'}]",1076,14,333,Snapped Staff,1,6
I've walked a long way with this staff.,"[{'effect_string': 'reduce_ultimate_cooldown,8'}]",1076,14,334,Sturdy Staff,2,6
"No matter how far you walk, you'll always end up back where you started.","[{'effect_string': 'reduce_ultimate_cooldown,16'}]",1077,14,335,Wanderer's Staff,3,6
It is much easier to focus on ki with this ancient staff.,"[{'effect_string': 'reduce_ultimate_cooldown,40'}]",1078,14,336,Ki Staff of Long Walks,4,6
A basic amulet given to all orc children.,"[{'effect_string': 'hero_dps_multiplier_mult,50'}]",1298,15,337,Stone Amulet,1,1
Obviously magical - it radiates heat.,"[{'effect_string': 'hero_dps_multiplier_mult,125'}]",1298,15,338,Warm Amulet,2,1
An amulet of warding constructed by our tribal sage; doesn't really do anything.,"[{'effect_string': 'hero_dps_multiplier_mult,200'}]",1299,15,339,Tribal Amulet,3,1
"My father's amulet; worn in battle dozens, perhaps hundreds of time.","[{'effect_string': 'hero_dps_multiplier_mult,350'}]",1300,15,340,Bone Breaker Amulet of the Tribe,4,1
A simple belt; better to wear this than to have your pants fall down.,"[{'effect_string': 'buff_attack_damage,25,51'}]",1301,15,341,Cloth Belt,1,2
"Softness isn't often a quality I admire, but I make an exception for this belt.","[{'effect_string': 'buff_attack_damage,87.5,51'}]",1301,15,342,Soft Belt,2,2
"A wizard's belt, but still useful to a warrior such as myself.","[{'effect_string': 'buff_attack_damage,150,51'}]",1302,15,343,Ornate Belt,3,2
This belt belonged to my mother; it saw her safely through countless dangers.,"[{'effect_string': 'buff_attack_damage,275,51'}]",1303,15,344,Artisan Belt of the Way Finder,4,2
So much is missing; someone who learns history from this book is bound to repeat it.,"[{'effect_string': 'buff_attack_damage,25,52'}]",1304,15,345,Torn History Book,1,3
There are important lessons in all of our pasts.,"[{'effect_string': 'buff_attack_damage,87.5,52'}]",1304,15,346,Faded History Book,2,3
"A detailed history of half-orc culture, written by myself.","[{'effect_string': 'buff_attack_damage,150,52'}]",1305,15,347,Detailed History Book,3,3
A detailed encyclopedia of orc tribes and customs - my mother's life work.,"[{'effect_string': 'buff_attack_damage,275,52'}]",1306,15,348,Archaeologist's Book of Tribal History,4,3
It cracked when I hit a Stone Golem so hard that it shattered.,"[{'effect_string': 'buff_attack_damage,25,53'}]",1307,15,349,Cracked Warhammer,1,4
"Heavy to carry around, but worth it in battle.","[{'effect_string': 'buff_attack_damage,87.5,53'}]",1307,15,350,Solid Warhammer,2,4
A warrior needs every advantage to catch his enemy off guard.,"[{'effect_string': 'buff_attack_damage,150,53'}]",1308,15,351,Spiked Warhammer,3,4
My bonded warhammer has served me well throughout the years.,"[{'effect_string': 'buff_attack_damage,275,53'}]",1309,15,352,Vicious Warhammer of Orcish Bloodlust,4,4
I should probably get this replaced.,"[{'effect_string': 'buff_ultimate,25'}]",1310,15,353,Pilling Scarf,1,5
"Yes, I knit. What's your problem with that?","[{'effect_string': 'buff_ultimate,87.5'}]",1310,15,354,Hand-knit Scarf,2,5
"A fine scarf, though not very warrior-ly.","[{'effect_string': 'buff_ultimate,150'}]",1312,15,355,Wizard's Scarf,3,5
A momento from my time training as an Eldritch Knight.,"[{'effect_string': 'buff_ultimate,275'}]",1311,15,356,Flowing Scarf of the Eldritch Knight,4,5
"Adaquete for a child perhaps, but I hope to find a new pair soon enough.","[{'effect_string': 'reduce_ultimate_cooldown,6'}]",1313,15,357,Weak Pauldron,1,6
Hardened leather can surprisingly deflect even strong and sharp attacks.,"[{'effect_string': 'reduce_ultimate_cooldown,11'}]",1313,15,358,Tough Pauldron,2,6
A good shoulder charge never hurt anyone; perhaps just my enemies.,"[{'effect_string': 'reduce_ultimate_cooldown,21'}]",1314,15,359,Spiked Pauldron,3,6
"If magic fails me, these pauldrons will see me through.","[{'effect_string': 'reduce_ultimate_cooldown,53'}]",1315,15,360,Strong Iron Pauldron of the Charging Orc,4,6
An assortment of random pebbles from my journies.,"[{'effect_string': 'hero_dps_multiplier_mult,50'}]",1406,16,361,Random Pebbles,1,1
Some polished stones that caught my eye.,"[{'effect_string': 'hero_dps_multiplier_mult,125'}]",1406,16,362,Polished Pebbles,2,1
A considerable collection of colorful calcite.,"[{'effect_string': 'hero_dps_multiplier_mult,200'}]",1405,16,363,Colorful Stones,3,1
I've collected a single pebble from each beach I've visited in my travels.,"[{'effect_string': 'hero_dps_multiplier_mult,350'}]",1404,16,364,Carefully Collected Pristine Pebbles,4,1
It's more for show. These old bones don't fight as well as they used to.,"[{'effect_string': 'global_dps_multiplier_mult,10'}]",1409,16,365,Dull Spear,1,2
Held together with wax and sap and a short length of leather.,"[{'effect_string': 'global_dps_multiplier_mult,65'}]",1409,16,366,Damaged Spear,2,2
Danger lies around every corner these days.,"[{'effect_string': 'global_dps_multiplier_mult,120'}]",1408,16,367,Sharpened Spear,3,2
It doubles as a walking staff when the danger is past.,"[{'effect_string': 'global_dps_multiplier_mult,230'}]",1407,16,368,Masterful Spear of Long Journies,4,2
Full of knick-knacks from another time.,"[{'effect_string': 'buff_upgrade,25,549'}]",1412,16,369,Old Pouch,1,3
The leather has been softened by years of use.,"[{'effect_string': 'buff_upgrade,87.5,549'}]",1412,16,370,Soft Leather Pouch,2,3
This pouch has seen me through countless adventures.,"[{'effect_string': 'buff_upgrade,150,549'}]",1411,16,371,Well Traveled Leather Pouch,3,3
There always seems to be something in this pouch to point me in the right direction.,"[{'effect_string': 'buff_upgrade,275,549'}]",1410,16,372,Sacred Pouch of the Wayfinder,4,3
"If I move too quickly, it could shatter. I'd better more slowly, then.","[{'effect_string': 'buff_upgrades,25,554,555,556', 'description': ""Increases the effect of Gromma's Spiked Shell, Freezing Breeze and Acid Splash abilities by $(amount)%.""}]",1415,16,373,Delicate Headdress,1,4
The warm waters off the coast of Ahoyhoy are perfect for collecting discarded coral.,"[{'effect_string': 'buff_upgrades,87.5,554,555,556', 'description': ""Increases the effect of Gromma's Spiked Shell, Freezing Breeze and Acid Splash abilities by $(amount)%.""}]",1415,16,374,Coral Headdress,2,4
A special headdress crafted by one of my many offspring.,"[{'effect_string': 'buff_upgrades,150,554,555,556', 'description': ""Increases the effect of Gromma's Spiked Shell, Freezing Breeze and Acid Splash abilities by $(amount)%.""}]",1414,16,375,Braided Headdress,3,4
A gift from the first of my grandchildren to leave the compound and explore the lands.,"[{'effect_string': 'buff_upgrades,275,554,555,556', 'description': ""Increases the effect of Gromma's Spiked Shell, Freezing Breeze and Acid Splash abilities by $(amount)%.""}]",1413,16,376,Intricate Headdress of the Grandmother,4,4
Its days are numbered.,"[{'effect_string': 'buff_ultimate,25'}]",1418,16,377,Fragile Conch,1,5
You can hear the ocean if you put it up to your ear.,"[{'effect_string': 'buff_ultimate,87.5'}]",1418,16,378,Hearty Conch,2,5
"This large conch is older than I am, and I'm practically ancient.","[{'effect_string': 'buff_ultimate,150'}]",1417,16,379,Ancient Conch,3,5
Recovered from the slimy tentacles of a slain Marine Decapus.,"[{'effect_string': 'buff_ultimate,275'}]",1416,16,380,Spiked Conch of the Deep Ocean,4,5
"Covered in itchy, scratching sand.","[{'effect_string': 'reduce_ultimate_cooldown,3'}]",1421,16,381,Sandy Bracelet,1,6
"A single, brilliant pearl makes this bracelet worth wearing.","[{'effect_string': 'reduce_ultimate_cooldown,6'}]",1421,16,382,Single Pearl Bracelet,2,6
Crafted for me by a young human during a recent visit to Port Nyanzaru.,"[{'effect_string': 'reduce_ultimate_cooldown,12'}]",1420,16,383,Dual-Banded Bracelet,3,6
"If you put your ear up to the pearl, you can hear the approach of strong storms.","[{'effect_string': 'reduce_ultimate_cooldown,30'}]",1419,16,384,Solemn Bone Bracelet of the Wind,4,6
An embaressment to belts everywhere.,"[{'effect_string': 'hero_dps_multiplier_mult,50'}]",1597,17,385,Tattered Belt,1,1
A belt for someone who spends too much time reading and not enough time being amazing.,"[{'effect_string': 'hero_dps_multiplier_mult,125'}]",1597,17,386,Scholar's Belt,2,1
"Adaquete for a wizard from the coast, perhaps, but someone as great as Dhadius!","[{'effect_string': 'hero_dps_multiplier_mult,200'}]",1598,17,387,Wizard's Belt,3,1
